iter	Logloss
0	0.6327847272
1	0.583406661
2	0.5428504403
3	0.5090753464
4	0.4808762141
5	0.4568509263
6	0.4366554288
7	0.4192194226
8	0.404265593
9	0.3917871518
10	0.3808806487
11	0.3719272226
12	0.3642291373
13	0.3571750963
14	0.3515110914
15	0.3467566806
16	0.3425942149
17	0.3388836316
18	0.335571193
19	0.3329236271
20	0.3303491004
21	0.3284333549
22	0.3266316787
23	0.3248257636
24	0.3232639211
25	0.3219866077
26	0.3207763005
27	0.319675244
28	0.3190103202
29	0.3183277174
30	0.3175513772
31	0.3169629383
32	0.3162964777
33	0.3158863203
34	0.3153638715
35	0.3150580069
36	0.3144249509
37	0.3139799602
38	0.3135595742
39	0.3131546393
40	0.3128719937
41	0.3125453882
42	0.3123581917
43	0.312091807
44	0.311760368
45	0.311488536
46	0.3113661334
47	0.3111098914
48	0.310787148
49	0.3106414367
50	0.3104580741
51	0.3103053307
52	0.3100844564
53	0.309873931
54	0.30973473
55	0.309547358
56	0.3093561635
57	0.3092204799
58	0.3090790099
59	0.3089277571
60	0.3087829929
61	0.3087160005
62	0.3086012474
63	0.3084644014
64	0.308368697
65	0.3082254022
66	0.3079153773
67	0.3078145618
68	0.3077421938
69	0.307614422
70	0.3074198894
71	0.3073109339
72	0.3071639289
73	0.3070527139
74	0.3069337021
75	0.3068511965
76	0.3067092017
77	0.3065959492
78	0.3065321417
79	0.3064281367
80	0.3061636947
81	0.3060520001
82	0.3059905487
83	0.3058932361
84	0.3058008589
85	0.3057064579
86	0.3056438946
87	0.3055165896
88	0.3054595655
89	0.3053668319
90	0.3052833856
91	0.3051883358
92	0.3051186248
93	0.3050572384
94	0.3049835392
95	0.3049110676
96	0.3048474755
97	0.3047608288
98	0.3046341971
99	0.304584296
43
493
2
