iter	Passed	Remaining
0	106	10501
1	158	7767
2	242	7845
3	248	5970
4	257	4898
5	274	4296
6	301	4008
7	399	4594
8	440	4458
9	506	4556
10	544	4401
11	588	4314
12	592	3966
13	612	3759
14	682	3870
15	727	3819
16	735	3589
17	738	3363
18	741	3162
19	745	2980
20	748	2815
21	797	2828
22	830	2779
23	842	2668
24	901	2704
25	928	2642
26	937	2535
27	940	2418
28	948	2321
29	978	2282
30	986	2195
31	990	2104
32	995	2021
33	1000	1941
34	1004	1866
35	1009	1793
36	1024	1745
37	1029	1680
38	1036	1621
39	1049	1573
40	1055	1518
41	1058	1461
42	1060	1406
43	1065	1356
44	1069	1307
45	1073	1259
46	1076	1213
47	1078	1168
48	1083	1127
49	1087	1087
50	1091	1048
51	1094	1010
52	1098	974
53	1102	939
54	1105	904
55	1108	871
56	1111	838
57	1114	807
58	1117	776
59	1119	746
60	1122	717
61	1124	689
62	1127	661
63	1129	635
64	1131	609
65	1134	584
66	1137	560
67	1139	536
68	1151	517
69	1154	494
70	1156	472
71	1158	450
72	1161	429
73	1163	408
74	1165	388
75	1167	368
76	1169	349
77	1171	330
78	1173	311
79	1175	293
80	1176	276
81	1178	258
82	1180	241
83	1181	225
84	1183	208
85	1185	192
86	1186	177
87	1188	162
88	1190	147
89	1191	132
90	1193	118
91	1194	103
92	1196	90
93	1197	76
94	1199	63
95	1200	50
96	1202	37
97	1204	24
98	1205	12
99	1207	0
	179
96	4314	133
97	4317	88
98	4321	43
99	4326	0
